;;;;;ppb;ppm;ppb;ppb;ppb;ppb;ug/mü;ug/mü;øC;%;mbar;W/mý;m/s;graus;mm;øC;%;øC;%
;;data;hora;Temp, interna;O3;CO;NO;NO2;NOx;SO2;PM10;PM2,5;Temp amb,;Umidade rel;PressÆo;radia‡Æo solar;velocidade vento;dir vento;chuva;T,amb, PM10;Umidade PM10;T,amb PM2,5;umidade PM2,5
ec;RPT4;>23-06-02;20:10:00;25.0<;0.00<;0.00<;0.00f;-9999.=;-9999.=;0.00f;-9999.=;-9999.=;28.2<;83.0<;2881.0<;0.<;1.89<;126.78<;0.0<;-9999.=;-9999.=;-9999.=;-9999.=
ec;RPT4;>23-06-02;20:20:00;25;-0,09;0;0.00f;0.00f;0.00f;0;38;-9999.=;28,2;83,1;2881;0.<;2.14<;124.52<;0;28,3;58;-9999.=;-9999.=
ec;RPT4;>23-06-02;20:30:00;25,2;28,88;0;0.00f;0.00f;-9999.=;0;38;16;28,2;83,1;2881;0;1,99;123,83;0;28,3;58;28,3;63
ec;RPT4;>23-06-02;20:40:00;25,4;25,22;0;0.01f;0.00f;0.00f;0;38;16;28,3;83,3;2881,1;0;2,18;125,05;0;28,3;58;28,3;63
ec;RPT4;>23-06-02;20:50:00;25,7;14,83;0.00x;27,32;-9999.=;-9999.=;0.00x;38;16;28,2;83,3;2881,1;0;2,4;127,24;0;28,3;58;28,3;63
ec;RPT4;>23-06-02;21:00:00;25,9;6,46;0,3;35,57;-9999.=;-9999.=;-0,05;985;985;28,2;83,7;2881,2;0;2,41;123,89;0;27,5;84;27,5;85
ec;RPT4;>23-06-02;21:10:00;25,9;7,69;0,54;46,36;-9999.=;-9999.=;2,13;985;985;28,3;83,4;2881,2;0;2,41;126,47;0;27,5;84;27,5;85
ec;RPT4;>23-06-02;21:20:00;25,7;5,25;0,71;20,65;11,01;31,08;2,09;985;985;28,3;83,1;2881,1;0;2,61;121,26;0;27,5;84;27,5;85
ec;RPT4;>23-06-02;21:30:00;25,6;6,85;0,69;11,72;11,62;23,33;2,54;985;985;28,3;83,3;2880,9;0;2,55;121,17;0;27,5;84;27,5;85
ec;RPT4;>23-06-02;21:40:00;25,7;-8,18;0,69;27,52;11,72;39,27;2,78;985;985;28,4;83;2880,6;0;2,41;118,49;0;27,5;84;27,5;85
ec;RPT4;>23-06-02;21:50:00;25,7;6;0,65;23,48;11,43;34,91;2,69;985;985;28,4;81,9;2880,4;0;2,32;125,22;0;27,5;84;27,5;85
ec;RPT4;>23-06-02;22:00:00;25,7;4,74;0,64;31,13;19,91;51,04;2,82;11;1;28,4;82,3;2880,2;0;2,6;121,44;0;27,6;82;27,6;72
ec;RPT4;>23-06-02;22:10:00;25,9;3,75;0,58;20,39;9,82;30,21;3,01;11;1;28,4;83,1;2880,2;0;2,08;124,6;0;27,6;82;27,6;72
ec;RPT4;>23-06-02;22:20:00;25,9;8,97;0,57;13,85;6,67;20,5;3,27;11;1;28,4;82,2;2880,1;0;2,86;120,91;0;27,6;82;27,6;72
ec;RPT4;>23-06-02;22:30:00;25,9;27,5;0,55;11,41;7,75;19,16;3,35;11;1;28,4;82,5;2880,1;0;2,97;123,8;0;27,6;82;27,6;72
ec;RPT4;>23-06-02;22:40:00;25,8;12,71;0,55;27,28;9,09;36,37;3,69;11;1;28,4;82,8;2880;0;2,66;122,12;0;27,6;82;27,6;72
ec;RPT4;>23-06-02;22:50:00;25,8;9,49;0,53;21,59;10,17;31,75;3,95;11;1;28,4;82,3;2879,8;0;3,2;120,73;0;27,6;82;27,6;72
ec;RPT4;>23-06-02;23:00:00;25,8;5,95;0,49;22,51;10,11;32,53;4,26;36;11;28,3;82,1;2879,9;0;2,58;126,71;0;27,6;78;27,6;68
ec;RPT4;>23-06-02;23:10:00;26;8,68;0,49;15,48;7,49;22,98;4,15;36;11;28,3;80,2;2880;0;2,49;125,34;0;27,6;78;27,6;68
ec;RPT4;>23-06-02;23:20:00;26;4,35;0,48;7,09;3,6;10,7;3,66;36;11;28,3;79,8;2880,1;0;2,69;123,1;0;27,6;78;27,6;68
